topic,comm_imp,comm_skill
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Not Important,NA
comm_persuade,Very important,Expert
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Not Important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Expert
comm_persuade,Very important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Moderately important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Not Important,NA
comm_persuade,Very important,Beginner
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Not Important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Unable to perform
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Moderately important,Beginner
comm_persuade,Somewhat important,NA
comm_persuade,Moderately important,Beginner
comm_persuade,Not Important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Not Important,NA
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Beginner
comm_persuade,Somewhat important,NA
comm_persuade,Very important,Expert
comm_persuade,Moderately important,Beginner
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Moderately important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Proficient
comm_persuade,Very important,Expert
